Verlaine,48.72377,6.180921,1,True,
Malzéville Paul Verlaine,48.72361,6.180411,1,True,
Malzéville,48.725285,6.181128,1,True,
Améthyste,48.714573,6.167265,1,True,
Les Aulnes,48.70557,6.155971,1,True,
Courbet,48.712711,6.167769,1,True,
Stade Darnys,48.706219,6.148976,1,True,
Deville,48.70768,6.172202,1,True,
Maxeville EcoParc,48.704757,6.132454,1,True,
Cuénot,48.705717,6.136084,1,True,
Saint-Exupéry,48.699844,6.130468,1,True,
Gambetta,48.712399,6.166849,1,True,
Zénith,48.709042,6.149047,1,True,
Nancy Pôle de santé,48.703545,6.141982,1,True,
Saint-Jacques II,48.702553,6.131019,1,True,
André Vautrin,48.713478,6.164984,1,True,
Maxéville Mairie,48.712841,6.161592,1,True,
Lafayette,48.71022,6.172263,1,True,
Montée de Pinchard,48.707844,6.162176,1,True,
Bon Repos,48.709057,6.161951,1,True,
Cheverny,48.713318,6.157316,1,True,
Solvay,48.71703,6.166649,1,True,
Alix Le Clerc,48.701424,6.164246,1,True,
Place des Justes,48.685829,6.180943,1,True,
Amerval,48.693136,6.180888,1,True,
Beauregard Saint-Anne,48.693119,6.140662,1,True,
Austrasie,48.687496,6.204649,1,True,
Baron Louis,48.696369,6.174437,1,True,
Georges de la Tour,48.690598,6.137609,1,True,
Achille Lévy,48.67767,6.198822,1,True,
Boufflers,48.693172,6.138232,1,True,
Place Dombasle,48.692165,6.178653,1,True,
Bisiaux,48.701807,6.146313,1,True,
Campus ARTEM Blandan,48.672028,6.172736,1,True,
ARTEM,48.672462,6.172347,1,True,
Chemin Blanc,48.69043,6.156042,1,True,
Place Aimé Morot,48.699257,6.165813,1,True,
Brice,48.679668,6.181888,1,True,
Buthegnémont,48.696499,6.146281,1,True,
Clinchant,48.680283,6.184611,1,True,
Place Carnot,48.692852,6.17695,1,True,
Cathédrale,48.691662,6.185575,1,True,
Cavallier,48.693226,6.165404,1,True,
Nancy Centre de Congrés,48.688546,6.17749,1,True,
Cèdre Bleu,48.702305,6.152224,1,True,
Quartier Saint-Nicolas,48.686092,6.184456,1,True,
Charles V,48.698654,6.175366,1,True,
Chevert,48.672859,6.175977,1,True,
Citadelle,48.700363,6.178465,1,True,
St Nicolas,48.688939,6.185503,1,True,
Charlemagne,48.681892,6.164018,1,True,
Parc de Saurupt,48.679317,6.180503,1,True,
Cimetière de Sud,48.676643,6.191082,1,True,
Cimetière du Sud,48.677002,6.191849,1,True,
Cinéma,48.692543,6.197205,1,True,
Colline,48.695717,6.140855,1,True,
Commanderie,48.686535,6.167975,1,True,
Place Charles III - Point Central,48.688946,6.182275,1,True,
Crépin,48.677773,6.184819,1,True,
Cristalleries,48.697388,6.198792,1,True,
Sainte-Catherine,48.694763,6.189598,1,True,
Cité Universitaire,48.696232,6.162483,1,True,
Division de Fer,48.69318,6.190622,1,True,
Musée Lorrain,48.696903,6.179382,1,True,
Dupont des Loges,48.682648,6.169102,1,True,
Dusaulx,48.704918,6.174252,1,True,
MJC 3 Maisons,48.705582,6.175714,1,True,
Saint-Epvre,48.695031,6.179697,1,True,
Exelmans,48.674858,6.175893,1,True,
Faculté de Droit,48.69319,6.175297,1,True,
Faïencerie,48.689973,6.184665,1,True,
La Foucotte,48.696896,6.159305,1,True,
Charles de Foucauld,48.702572,6.180809,1,True,
Fontenoy,48.705143,6.17643,1,True,
Garenne,48.681313,6.178612,1,True,
Nancy Gare,48.689137,6.175507,1,True,
Poirel,48.690403,6.175845,1,True,
Gébhart,48.67347,6.173739,1,True,
Gentilly,48.694809,6.138787,1,True,
Varsovie,48.683418,6.183891,1,True,
Place Godefroy de Bouillon,48.691902,6.168407,1,True,
Saint-Georges,48.69561,6.195424,1,True,
Gridel,48.687035,6.161393,1,True,
Rives de Meurthe,48.69022,6.199991,1,True,
Haut-Bourgeois,48.695911,6.176605,1,True,
Hôpital Central - Maternité,48.682289,6.192085,1,True,
Domrémy,48.68824,6.170139,1,True,
Poincaré,48.689281,6.169061,1,True,
Jeanne d'Arc,48.683395,6.172405,1,True,
Jean Jaurès,48.678394,6.17981,1,True,
Joli Coeur,48.702454,6.17445,1,True,
Maréchal Juin,48.677624,6.170268,1,True,
Saint-Julien,48.686012,6.191137,1,True,
Kennedy,48.686562,6.174976,1,True,
Saint-Léon,48.68829,6.173052,1,True,
Kléber,48.68465,6.168339,1,True,
Krug,48.682922,6.203032,1,True,
La Côte,48.691738,6.149532,1,True,
Oudinot,48.676609,6.178319,1,True,
Patton,48.69067,6.171256,1,True,
Lobau,48.681337,6.197774,1,True,
Loritz,48.687119,6.195542,1,True,
Mac Mahon,48.704273,6.183014,1,True,
Manufacture,48.696192,6.17291,1,True,
Maginot,48.689247,6.177907,1,True,
Marquette,48.691105,6.152707,1,True,
Tour Thiers  Gare,48.690857,6.17456,1,True,
Marcel Brot,48.679199,6.204916,1,True,
Marché Central,48.688669,6.182566,1,True,
Rue des Ponts,48.687945,6.182242,1,True,
Mon Desert,48.684566,6.176501,1,True,
Médreville,48.685299,6.160245,1,True,
Messier,48.689533,6.160122,1,True,
Molitor,48.685332,6.195797,1,True,
Centre Pénitentiaire,48.705486,6.151805,1,True,
Saint-Mansuy,48.697357,6.155138,1,True,
Montet Octroi,48.668476,6.168737,1,True,
Mulhouse,48.684521,6.178224,1,True,
Les Ombelles,48.701004,6.147411,1,True,
Painlevé,48.682247,6.166205,1,True,
Palais des Sports - Gentilly,48.69978,6.140605,1,True,
Majorelle,48.701031,6.144054,1,True,
Point Central,48.690556,6.181973,1,True,
Place Stanislas - Dom Calmet,48.690922,6.180967,1,True,
Leopold,48.697138,6.175814,1,True,
Pierson,48.702564,6.175233,1,True,
Cliniques,48.700253,6.144134,1,True,
Porte de la Craffe,48.698306,6.178295,1,True,
Parc de la Pépinière,48.699966,6.183117,1,True,
Place Stanislas,48.692712,6.183255,1,True,
Préville,48.687496,6.166116,1,True,
Quai de la Bataille,48.68203,6.185365,1,True,
Sacré Coeur,48.686279,6.162846,1,True,
Santifontaine,48.688866,6.163308,1,True,
Vic,48.680508,6.194807,1,True,
Saint-Sébastien,48.688358,6.179826,1,True,
Saint Sébastien,48.688765,6.178931,1,True,
Simon,48.700535,6.17643,1,True,
Sivry,48.675438,6.171914,1,True,
Nancy Jean Lamour,48.703659,6.163255,1,True,
Esplanade,48.688141,6.200013,1,True,
Stade Matter,48.68969,6.202542,1,True,
Nancy Tilleul Argenté,48.703217,6.155268,1,True,
Nancy Thermal,48.679619,6.167004,1,True,
Cyfflé,48.687149,6.182165,1,True,
Vaucouleurs,48.674271,6.181611,1,True,
Sainte-Colette,48.674839,6.182917,1,True,
Vayringe,48.706425,6.176892,1,True,
Campus Lettres,48.695309,6.167507,1,True,
Victor,48.686592,6.20011,1,True,
Villard,48.680271,6.187736,1,True,
Viray,48.692432,6.145791,1,True,
Villemin,48.678951,6.188739,1,True,
Artem Vauban,48.674713,6.170148,1,True,
Place des Vosges,48.685219,6.186675,1,True,
Pichon,48.68372,6.185504,1,True,
Blés d'Or,48.705448,6.258974,1,True,
Collège Goncourt,48.706543,6.261571,1,True,
Charles de Gaulle,48.704487,6.254586,1,True,
Petite Fin,48.709057,6.25794,1,True,
Lebrun,48.699669,6.255533,1,True,
Masserine,48.707474,6.255455,1,True,
Renaissance,48.704651,6.251273,1,True,
Pulnoy République,48.70208,6.257972,1,True,
Semoir,48.709763,6.264385,1,True,
Sorbiers,48.704048,6.260255,1,True,
Résidences Vertes,48.702431,6.250452,1,True,
Vervaux,48.697376,6.254626,1,True,
Maison de l'Amitié,48.712769,6.262749,1,True,
Les Bijoins,48.712547,6.253566,1,True,
Clesure,48.711994,6.246493,1,True,
Donon,48.714901,6.269193,1,True,
Seichamps - Eglise,48.716923,6.265538,1,True,
Parterres Fleuris,48.709927,6.254158,1,True,
Galibier,48.715492,6.27393,1,True,
Le Hohneck,48.713745,6.271486,1,True,
Saint-Laurent,48.715248,6.259006,1,True,
Seichamps - Mairie,48.714062,6.260671,1,True,
Seichamps Haie Cerlin,48.71954,6.265858,1,True,
Montréal,48.713257,6.252028,1,True,
Jardin Roussel,48.712868,6.267829,1,True,
Renoir,48.713413,6.266592,1,True,
Les Rosiers,48.713917,6.25571,1,True,
Varinchamps,48.71122,6.26396,1,True,
Voirincourt,48.715614,6.271124,1,True,
Champagne,48.678566,6.239592,1,True,
La Vahotte,48.68573,6.240482,1,True,
Saulxures Lorraine,48.679306,6.242841,1,True,
Saulxures - Eglise,48.689266,6.249217,1,True,
Saulxures Forêt,48.675636,6.241953,1,True,
